country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Afghanistan,AF,AFG,4,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2010,1,Total,Units,%,Estimated value,Free,,Under 15 years old
Afghanistan,AF,AFG,4,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2011,3,Total,Units,%,Estimated value,Free,,Under 15 years old
Afghanistan,AF,AFG,4,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2012,3,Total,Units,%,Estimated value,Free,,Under 15 years old
Afghanistan,AF,AFG,4,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2013,6,Total,Units,%,Estimated value,Free,,Under 15 years old
Afghanistan,AF,AFG,4,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2014,8,Total,Units,%,Estimated value,Free,,Under 15 years old
Afghanistan,AF,AFG,4,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2015,6,Total,Units,%,Estimated value,Free,,Under 15 years old
Afghanistan,AF,AFG,4,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2016,16,Total,Units,%,Estimated value,Free,,Under 15 years old
Afghanistan,AF,AFG,4,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2017,24,Total,Units,%,Estimated value,Free,,Under 15 years old
Afghanistan,AF,AFG,4,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2018,25,Total,Units,%,Estimated value,Free,,Under 15 years old
Afghanistan,AF,AFG,4,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2019,24,Total,Units,%,Estimated value,Free,,Under 15 years old
Afghanistan,AF,AFG,4,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2020,23,Total,Units,%,Estimated value,Free,,Under 15 years old
Afghanistan,AF,AFG,4,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2021,23,Total,Units,%,Estimated value,Free,,Under 15 years old
Afghanistan,AF,AFG,4,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2022,24,Total,Units,%,Estimated value,Free,,Under 15 years old
Afghanistan,AF,AFG,4,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2023,27,Total,Units,%,Estimated value,Free,,Under 15 years old
Algeria,DZ,DZA,12,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2010,34,Total,Units,%,Estimated value,Free,,Under 15 years old
Algeria,DZ,DZA,12,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2011,57,Total,Units,%,Estimated value,Free,,Under 15 years old
Algeria,DZ,DZA,12,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2012,65,Total,Units,%,Estimated value,Free,,Under 15 years old
Algeria,DZ,DZA,12,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2013,>95,Total,Units,%,Estimated value,Free,,Under 15 years old
Algeria,DZ,DZA,12,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2014,>95,Total,Units,%,Estimated value,Free,,Under 15 years old
Algeria,DZ,DZA,12,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2015,94,Total,Units,%,Estimated value,Free,,Under 15 years old
Algeria,DZ,DZA,12,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2016,91,Total,Units,%,Estimated value,Free,,Under 15 years old
Algeria,DZ,DZA,12,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2017,89,Total,Units,%,Estimated value,Free,,Under 15 years old
Algeria,DZ,DZA,12,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2018,90,Total,Units,%,Estimated value,Free,,Under 15 years old
Algeria,DZ,DZA,12,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2019,>95,Total,Units,%,Estimated value,Free,,Under 15 years old
Algeria,DZ,DZA,12,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2020,>95,Total,Units,%,Estimated value,Free,,Under 15 years old
Algeria,DZ,DZA,12,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2021,>95,Total,Units,%,Estimated value,Free,,Under 15 years old
Algeria,DZ,DZA,12,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2022,91,Total,Units,%,Estimated value,Free,,Under 15 years old
Algeria,DZ,DZA,12,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2023,87,Total,Units,%,Estimated value,Free,,Under 15 years old
Angola,AO,AGO,24,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2010,5,Total,Units,%,Estimated value,Free,,Under 15 years old
Angola,AO,AGO,24,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2011,5,Total,Units,%,Estimated value,Free,,Under 15 years old
Angola,AO,AGO,24,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2012,7,Total,Units,%,Estimated value,Free,,Under 15 years old
Angola,AO,AGO,24,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2013,8,Total,Units,%,Estimated value,Free,,Under 15 years old
Angola,AO,AGO,24,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2014,9,Total,Units,%,Estimated value,Free,,Under 15 years old
Angola,AO,AGO,24,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2015,11,Total,Units,%,Estimated value,Free,,Under 15 years old
Angola,AO,AGO,24,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2016,8,Total,Units,%,Estimated value,Free,,Under 15 years old
Angola,AO,AGO,24,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2017,10,Total,Units,%,Estimated value,Free,,Under 15 years old
Angola,AO,AGO,24,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2018,13,Total,Units,%,Estimated value,Free,,Under 15 years old
Angola,AO,AGO,24,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2019,14,Total,Units,%,Estimated value,Free,,Under 15 years old
Angola,AO,AGO,24,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2020,17,Total,Units,%,Estimated value,Free,,Under 15 years old
Angola,AO,AGO,24,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2021,20,Total,Units,%,Estimated value,Free,,Under 15 years old
Angola,AO,AGO,24,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2022,23,Total,Units,%,Estimated value,Free,,Under 15 years old
Angola,AO,AGO,24,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2023,27,Total,Units,%,Estimated value,Free,,Under 15 years old
Armenia,AM,ARM,51,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2010,>95,Total,Units,%,Estimated value,Free,,Under 15 years old
Armenia,AM,ARM,51,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2011,>95,Total,Units,%,Estimated value,Free,,Under 15 years old
Armenia,AM,ARM,51,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2012,91,Total,Units,%,Estimated value,Free,,Under 15 years old
Armenia,AM,ARM,51,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2013,91,Total,Units,%,Estimated value,Free,,Under 15 years old
Armenia,AM,ARM,51,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2014,>95,Total,Units,%,Estimated value,Free,,Under 15 years old
Armenia,AM,ARM,51,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2015,>95,Total,Units,%,Estimated value,Free,,Under 15 years old
Armenia,AM,ARM,51,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2016,>95,Total,Units,%,Estimated value,Free,,Under 15 years old
Armenia,AM,ARM,51,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2017,>95,Total,Units,%,Estimated value,Free,,Under 15 years old
Armenia,AM,ARM,51,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2018,>95,Total,Units,%,Estimated value,Free,,Under 15 years old
